feedback_text,sentiment,topic,urgency,action,source
"The power strip was placed in the middle of the walkway, a trip hazard.",negative,equipment/setup,high,escalate,synthetic
Nothing to complain about the food.,neutral,catering,low,none,synthetic
"The projection screen had a large, noticeable stain right in the middle.",negative,equipment/setup,medium,contact venue,synthetic
Examples were not relevant to our industry,negative,content,high,inform instructor,real
The pacing of the course was just right.,positive,content,low,none,synthetic
Room layout worked well for activities,positive,venue,low,none,real
The trainer insulted the management's course choices.,negative,instructor,high,escalate,synthetic
Content matched the agenda,neutral,content,low,none,real
I am furious about the lack of accessibility. The ramp was completely unusable.,negative,venue,high,escalate,synthetic
Audio equipment was muffled at the back of the room.,negative,equipment/setup,high,contact venue,synthetic
Training hardware kits were missing crucial components.,negative,equipment/setup,high,inform coordinators,synthetic
Only sugary snacks were provided; no healthy alternatives,negative,catering,medium,contact venue,synthetic
His constant damn interruptions completely ruined the flow of the session.,negative,instructor,high,inform coordinators,synthetic
What the hell was that performance? A total waste of time.,negative,instructor,high,escalate,synthetic
It went as expected,neutral,overall,low,none,real
Handouts were missing pages,negative,material,high,inform coordinators,synthetic
"The parking situation was a nightmare, adding immense stress to the morning.",negative,venue,high,contact venue,synthetic
They served us literal leftovers from the previous day. A damn cheap move.,negative,catering,high,contact venue,synthetic
The only working pen was dry and unusable.,negative,equipment/setup,low,contact venue,synthetic
The security guard was rude and dismissive when I asked for directions.,negative,venue,high,contact venue,synthetic
Speakers had a constant hum,negative,equipment/setup,low,inform instructor,real
 I would totally recommend this company to colleagues,positive,overall,low,none,real
The session was boring; hard to stay engaged,negative,content,high,inform instructor,real
The pace of the curriculum was fine.,neutral,content,low,none,synthetic
The whiteboard was too small for the amount of notes required.,negative,equipment/setup,low,contact venue,synthetic
The room size was acceptable.,neutral,venue,low,none,synthetic
My special dietary request was ignored completely. Extremely upsetting.,negative,catering,high,contact venue,synthetic
Venue was acceptable,neutral,venue,low,none,synthetic
The instructor ensured every participant felt heard.,positive,instructor,low,none,synthetic
The instructor’s passion for the subject was contagious.,positive,instructor,low,none,synthetic
I have no comment on the content quality.,neutral,content,low,none,synthetic
Power outlets were provided.,neutral,equipment/setup,low,none,synthetic
Venue maintenance staff were smoking right outside the main entrance.,negative,venue,medium,contact venue,synthetic
,neutral,overall,low,none,real
"The noise-cancelling equipment was broken, making it hard to concentrate.",negative,equipment/setup,medium,contact venue,synthetic
Temperature was manageable.,neutral,venue,low,none,synthetic
the materials i received is for the wrong course,negative,material,high,inform coordinators,real
"The venue provided clean, fresh water dispensers.",positive,venue,low,none,synthetic
Content felt outdated for our industry,negative,content,high,modify course content,real
Trainer arrived two hours late without apology.,negative,instructor,high,escalate,synthetic
I want a full refund! This whole experience was a complete and utter damn waste of company money.,negative,overall,high,escalate,synthetic
One of the best learning experiences I have had in years.,positive,overall,low,none,synthetic
Conference room was too hot and stuffy,negative,venue,medium,contact venue,real
Content felt outdated for our industry,negative,content,high,modify course content,real
"Virtual machines were not pre-loaded as promised, delaying the start by two hours.",negative,equipment/setup,high,inform coordinators,synthetic
The provided software licenses expired mid-session.,negative,equipment/setup,high,inform coordinators,synthetic
The room was overcrowded and very hot,negative,venue,medium,contact venue,synthetic
The projector screen was cockeyed and skewed the image.,negative,equipment/setup,medium,contact venue,synthetic
The classroom for the 10-day course was a bit cramped. We needed more space for the group exercises and practical work.,negative,venue,high,contact venue,synthetic
Her attitude was beyond rude; I was on the verge of walking out.,negative,instructor,high,escalate,synthetic
"We were given two different WiFi passwords, neither of which worked.",negative,equipment/setup,high,contact venue,synthetic
The room temperature swung wildly between freezing and too hot.,negative,equipment/setup,medium,contact venue,synthetic
No dedicated smoking area was available.,neutral,venue,low,contact venue,synthetic
The course provided excellent takeaways and actionable steps.,positive,content,low,none,synthetic
The specialized input device was broken on every workstation.,negative,equipment/setup,high,inform coordinators,synthetic
Content was relevant and up-to-date,positive,content,low,none,synthetic
The presentation slides were visually engaging and clear.,positive,material,low,none,synthetic
The snacks were fresh and frequently replenished.,positive,catering,low,none,synthetic
 The session was boring; hard to stay engaged,negative,content,high,inform instructor,synthetic
"Great teaching, clear examples over the 10 days.",positive,instructor,low,none,synthetic
Handled the class professionally.,neutral,instructor,low,none,synthetic
"Technical setup was flawless, great job!",positive,equipment/setup,low,none,real
The instructor's laptop stand collapsed during the lecture.,negative,equipment/setup,medium,contact venue,synthetic
The specialized lab software would not launch on half the machines.,negative,equipment/setup,high,contact venue,synthetic
Explanations were unclear in several parts,negative,instructor,medium,inform coordinators,real
Speakers had a constant hum,negative,equipment/setup,high,inform coordinators,real
The washrooms were filthy and clearly hadn't been cleaned all week. Disgusting heck!,negative,venue,high,contact venue,synthetic
I would totally recommend this company to colleagues,positive,overall,low,none,real
I found the venue easily.,neutral,venue,low,none,synthetic
Disappointed with the overall experience,negative,overall,high,escalate,real
The bathroom was operational.,neutral,venue,low,none,synthetic
The handouts were printed perfectly and easy to read.,positive,material,low,none,synthetic
Dietary options were available.,neutral,catering,low,none,synthetic
The curriculum flow was extremely smooth.,positive,content,low,none,synthetic
The emergency lighting was not functioning during a brief power flicker.,negative,equipment/setup,high,escalate,synthetic
No comment,neutral,overall,low,none,real
Trainer sexualized an example during the lecture.,negative,instructor,high,escalate,synthetic
Projector kept turning off during the session,negative,equipment/setup,medium,inform coordinators,real
Coverage aligned with the course outline,positive,content,low,none,real
The room smeeled so bad we had to change it and waited a lot,negative,venue,high,escalate,synthetic
Pacing was neither too fast nor too slow.,neutral,instructor,low,none,synthetic
Venue staff were damn rude and treated us like an inconvenience.,negative,venue,high,escalate,synthetic
The room was severely overbooked; people had to share computers.,negative,equipment/setup,high,escalate,synthetic
A truly great learning opportunity,positive,overall,low,none,synthetic
"Everything ran like clockwork, perfectly organized.",positive,overall,low,none,synthetic
This food is an insult to the price we paid. A damn joke.,negative,catering,high,contact venue,real
Good location with ample parking,positive,venue,low,none,synthetic
I learned more in two days than I expected to learn all week.,positive,overall,low,none,synthetic
The workbook contained useful pre- and post-course assessments.,positive,material,low,none,synthetic
The instructor was extremely knowledgeable.,positive,instructor,low,none,synthetic
The reception desk staff were unhelpful and clearly did not know the schedule.,negative,venue,medium,contact venue,synthetic
The dedicated training server was unreachable for the whole afternoon session.,negative,equipment/setup,high,inform coordinators,synthetic
Ok,neutral,overall,low,none,real
No major technical difficulties.,neutral,equipment/setup,low,none,synthetic
Perfect location and setup for the 10 days.,positive,venue,low,none,synthetic
The screens were visible.,neutral,equipment/setup,low,none,synthetic
The experience was middle-of-the-road.,neutral,overall,low,none,synthetic
Just standard professional development.,neutral,overall,low,none,synthetic
The general state of decay in the training room was unacceptable.,negative,venue,high,contact venue,synthetic
The remote control for the TV monitor was missing.,negative,equipment/setup,low,contact venue,synthetic
The staff member helping with A/V rolled their eyes when asked for assistance.,negative,venue,high,contact venue,synthetic
Instructor made a discriminatory comment about an accent.,negative,instructor,high,escalate,synthetic
The depth of content was fine.,neutral,content,low,none,synthetic
"Wasted money, I didn't pay for this",negative,overall,high,escalate,real
Chairs were too uncomfortable for a 5-day event.,negative,venue,medium,contact venue,synthetic
so boring i almost fell asleep,negative,content,high,inform instructor,real
The trainer was exceptional. He made the long 10-day course enjoyable and kept us engaged throughout the entire time.,positive,instructor,low,none,synthetic
Instructor allowed ample time for hands-on practice.,positive,instructor,low,none,synthetic
I would rather have stayed home and watched paint dry. It was a damn boring waste.,negative,overall,high,escalate,synthetic
The topics were covered.,neutral,content,low,none,synthetic
"We were explicitly told to bring our own laptops due to bad equipment, which was unacceptable.",negative,equipment/setup,high,inform coordinators,synthetic
I am furious that we had to use our own laptops because yours were broken.,negative,equipment/setup,high,inform coordinators,synthetic
Material was well-structured and comprehensive,positive,content,low,none,synthetic
The security guard threatened to call the police over a minor dispute. This is appalling!,negative,venue,high,escalate,synthetic
Standard room; acceptable,neutral,venue,low,none,real
I am outraged by the sheer cost of this low-quality program.,negative,overall,high,escalate,synthetic
"Valet staff drove my car recklessly and scratched the bumper, what kind of a joke is this?",negative,venue,high,escalate,real
I especially appreciated the instructor’s patience and clarity.,positive,instructor,low,none,synthetic
Trainer showed favoritism to certain attendees.,negative,instructor,high,inform coordinators,synthetic
Catering was acceptable,neutral,catering,low,none,synthetic
I was absolutely livid that there were no plates or cutlery available.,negative,catering,high,contact venue,synthetic
The training kit contained everything necessary for the exercises.,positive,material,low,none,synthetic
Laptop adapter was missing at the start,negative,equipment/setup,medium,inform coordinators,real
 Examples were not relevant to our context,negative,content,high,inform instructor,real
The remote control for the air conditioner was locked in a cabinet.,negative,equipment/setup,medium,contact venue,synthetic
Instructor provided excellent individual attention.,positive,instructor,low,none,synthetic
Too much hallway noise disrupted the session,negative,venue,high,contact venue,real
The classroom had excellent natural light and temperature control.,positive,venue,low,none,synthetic
Lunch arrived 45 minutes late,negative,catering,high,contact venue,synthetic
Refreshments were consistently fresh and high-quality.,positive,catering,low,none,synthetic
"Wonderful, clean, and modern venue. It was a pleasure to spend 10 days here. Five stars!",positive,venue,low,none,synthetic
I think wifi was unstable throughout the day,negative,equipment/setup,high,inform coordinators,real
The content was what I expected.,neutral,content,low,none,synthetic
 Pace was too slow for the group,negative,content,medium,inform instructor,real
Coffee machine was not working,negative,catering,high,contact venue,real
We lost 2 hours because the lab setup was wrongly configured. I am livid.,negative,equipment/setup,high,inform coordinators,synthetic
The desktop computers were outdated and slow.,negative,equipment/setup,high,contact venue,synthetic
"Excellent venue, very modern for the 10-day course.",positive,venue,low,none,synthetic
We need to streamline the AI demos for all AI training courses,negative,equipment/setup,high,modify course content,real
The length of the course was normal.,neutral,content,low,none,synthetic
It covered the material sufficiently.,neutral,overall,low,none,synthetic
No strong feelings about the instructor.,neutral,instructor,low,none,synthetic
The conference phone kept dropping the calls with guest speakers.,negative,equipment/setup,high,contact venue,synthetic
The exit signs were obstructed.,negative,venue,high,contact venue,synthetic
Someone was blasting music from the next room over. Incredibly distracting!,negative,venue,high,contact venue,real
I would totally recommend this company to colleagues,positive,overall,low,none,real
The presenter had a great delivery style; tips and tricks on saving time have been super helpful. Great for the 5-day structure.,positive,instructor,low,none,synthetic
The content was perfectly tailored to the advertised skill level.,positive,content,low,none,synthetic
The printer ran out of toner when we needed handouts.,negative,equipment/setup,medium,contact venue,synthetic
The power strip kept tripping the circuit breaker when all laptops were plugged in.,negative,equipment/setup,high,contact venue,synthetic
Content was a bit shallow for this length of training.,neutral,content,low,modify course content,synthetic
The trainer mocked a colleague's question publicly.,negative,instructor,high,escalate,synthetic
Catering provided healthy and substantial meal choices.,positive,catering,low,none,synthetic
"From my side, Everything went smoothly and according to plan",positive,overall,low,none,real
I have never been so angry at a training event in my entire career.,negative,overall,high,escalate,real
"Perfect score on all fronts, highly satisfied.",positive,overall,low,none,synthetic
Adequate lighting for the room.,neutral,venue,low,none,synthetic
The printed materials contained all the necessary code snippets.,positive,material,low,none,synthetic
A serviceable course.,neutral,overall,low,none,synthetic
The instructor effectively managed all questions.,positive,instructor,low,none,synthetic
The venue's signage and directions were extremely clear.,positive,venue,low,none,synthetic
The monitor brightness was incorrectly set.,negative,equipment/setup,low,contact venue,synthetic
The materials were exactly what I needed.,positive,material,low,none,synthetic
The provided cameras for the video project were missing tripods.,negative,equipment/setup,medium,inform coordinators,synthetic
Great experince,positive,overall,low,none,real
Receptionist gave me the wrong WiFi password twice.,negative,venue,medium,contact venue,synthetic
"The curriculum was fine, but lacked spark.",neutral,overall,low,none,synthetic
Instructor handled all questions with professionalism and grace.,positive,instructor,low,none,synthetic
Daily lunch boxes lacked fresh vegetables.,negative,catering,medium,contact venue,synthetic
Not much new information,neutral,content,low,none,synthetic
I got what I paid for.,neutral,overall,low,none,synthetic
The projector was so dim the image was almost invisible. ,negative,equipment/setup,high,contact venue,synthetic
Materials were standard,neutral,material,low,none,real
Very little variety of food options,negative,catering,medium,contact venue,real
The level of disrespect from the instructor was truly shocking and unacceptable.,negative,instructor,high,escalate,synthetic
"Only generic power adapters were available, not compatible with my device.",negative,equipment/setup,low,contact venue,synthetic
Portion sizes were too small,negative,catering,high,contact venue,real
The signage was present.,neutral,venue,low,none,synthetic
A typical conference room.,neutral,venue,low,none,synthetic
The provided screen magnifier made viewing easy for everyone.,positive,equipment/setup,low,none,synthetic
The training kit contained a component that was broken and sharp.,negative,equipment/setup,high,escalate,synthetic
Fundamental concepts were not explained well enough,negative,content,high,modify course content,synthetic
The introduction to the subject was too long.,negative,content,medium,modify course content,synthetic
The room was completely dark and the lights would not turn on.,negative,equipment/setup,high,escalate,synthetic
The course materials were provided on a corrupted USB drive.,negative,equipment/setup,high,inform coordinators,synthetic
Software ran without crashing.,neutral,equipment/setup,low,none,synthetic
No specific comment,neutral,overall,low,none,real
"From my side, Overall experience was great; wellâ€‘organized event",positive,overall,low,none,real
The lunch was stone cold and utterly inedible. What a damn waste of money.,negative,catering,high,contact venue,synthetic
The trainer did their job.,neutral,instructor,low,none,synthetic
Instructor made complex topics easy to understand,positive,instructor,low,none,synthetic
The curriculum flow was logical and easy to absorb.,positive,content,low,none,synthetic
The catering staff were aggressively rude when I asked for gluten free options,negative,catering,high,contact venue,real
The room setup was for a smaller group; not enough chairs.,negative,equipment/setup,medium,contact venue,synthetic
I will use the content later.,neutral,content,low,none,synthetic
I feel much better prepared after taking this course.,positive,overall,low,none,synthetic
Instructor refused to answer questions from certain people.,negative,instructor,high,escalate,synthetic
A catering staff member made a comment about my portion size.,negative,catering,medium,contact venue,synthetic
The coffee was just coffee.,neutral,catering,low,none,synthetic
Equipment were all functional unlike the last time,positive,equipment/setup,low,none,real
Nothing to write home about.,neutral,overall,low,none,synthetic
Materials were clear and well organized,positive,material,low,none,real
The screen resolution was so low it made text unreadable.,negative,equipment/setup,high,contact venue,synthetic
I had a stable internet connection.,neutral,equipment/setup,low,none,synthetic
The trainer seemed drunk and was slurring words.,negative,instructor,high,escalate,synthetic
i was given another venue's location! i missed day 1!,negative,venue,high,escalate,real
The instructor seemed unprepared for the advanced questions,negative,instructor,medium,inform coordinators,synthetic
I am outraged that the beverages were all room temperature and flat.,negative,catering,high,contact venue,synthetic
Instructor offered relevant advice on career progression.,positive,instructor,low,none,synthetic
The screen size was too small for the large class size.,negative,equipment/setup,medium,contact venue,synthetic
The water cooler was full.,neutral,catering,low,none,synthetic
Cool,neutral,overall,low,none,real
Headsets provided for the lab were clearly not cleaned after the previous session.,negative,equipment/setup,high,contact venue,synthetic
The keyboard keys were sticky and disgusting.,negative,equipment/setup,high,contact venue,synthetic
The provided juice was highly sugary.,negative,catering,low,contact venue,synthetic
"Security refused to let me in late, despite my prior arrangement.",negative,venue,high,contact venue,synthetic
Menu was simple but fine,neutral,catering,low,none,real
The instructor showed blatant contempt for attendees who asked basic questions. Shameful!,negative,instructor,high,inform coordinators,synthetic
Would definitely NOT recommend this training,negative,overall,high,escalate,synthetic
Case studies were practical and well chosen - related to my field,positive,content,low,none,real
Excellent experience from start to finish,positive,overall,low,none,synthetic
Instructor was extremely professional.,positive,instructor,low,none,synthetic
Charging cables were not provided.,negative,equipment/setup,low,contact venue,synthetic
The technical support guy was zero damn help and shrugged off all our problems.,negative,equipment/setup,high,contact venue,real
The chairs were broken and had sharp edges.,negative,equipment/setup,high,escalate,synthetic
The training room was set up perfectly for collaboration.,positive,venue,low,none,synthetic
Trainer provided excellent personalized feedback.,positive,instructor,low,none,synthetic
The noise from the construction next door was unbelievably hellish and ruined the course.,negative,venue,high,escalate,synthetic
Everything went smoothly and according to plan,positive,overall,low,none,real
 Coverage aligned with the course outline,positive,content,low,none,real
They forgot the afternoon coffee entirely. This is basic damn hospitality!,negative,catering,high,contact venue,synthetic
The porter refused to help carry heavy equipment upstairs.,negative,venue,medium,contact venue,real
The fire extinguisher was blocked by stacked chairs.,negative,equipment/setup,high,escalate,synthetic
The fresh fruit options were limited.,negative,catering,low,contact venue,synthetic
internet was unstable throughout the last 2 days,negative,equipment/setup,high,inform coordinators,real
"Excellent, reliable Wi-Fi that supported all the activities.",positive,equipment/setup,low,none,synthetic
Handouts were informative and high quality,positive,material,low,none,synthetic
The training was acceptable.,neutral,overall,low,none,synthetic
The instructor was inspiring and reignited my passion for the subject.,positive,instructor,low,none,synthetic
"Slides will be shared later, as expected",neutral,material,low,none,real
"The printed manuals were of an exceptional, glossy quality.",positive,material,low,none,synthetic
"Only sugary snacks were provided; for a 5-day training, a healthier variety of drinks and snacks is essential.",negative,catering,medium,contact venue,synthetic
No working microphone was available for participants.,negative,equipment/setup,medium,contact venue,synthetic
i still haven't received the printed materials,negative,material,high,inform coordinators,real
"From my side, The session was boring; hard to stay engaged",negative,content,high,inform instructor,real
"The trainer displayed clear, unprofessional bias.",negative,instructor,high,escalate,synthetic
Trainer seemed unprepared for the 5-day class.,negative,instructor,high,inform coordinators,synthetic
A thoroughly professional and worthwhile investment of time.,positive,overall,low,none,synthetic
I'm disgusted by the trainer's inappropriate comments. This needs action immediately.,negative,instructor,high,escalate,synthetic
Setup was as expected.,neutral,equipment/setup,low,none,synthetic
Restrooms were dirty and poorly maintained,negative,venue,high,contact venue,synthetic
Instructor was late and rushed through sections,negative,instructor,medium,escalate,real
Showed up on time.,neutral,instructor,low,none,synthetic
Lunch was served on time and was very enjoyable.,positive,catering,low,none,synthetic
"From my side, Examples were not relevant to our context",negative,content,high,inform instructor,real
Too much theory and not enough hands-on practice,negative,content,high,modify course content,synthetic
I left feeling entirely uninspired.,negative,overall,medium,escalate,synthetic
The service was efficient.,neutral,catering,low,none,synthetic
"The instructor was an absolute damn joke, completely unprofessional.",negative,instructor,high,escalate,synthetic
I am furious about the low quality of everything. This course is a heck of a joke.,negative,overall,high,escalate,synthetic
The venue provided quiet zones for personal calls/work.,positive,venue,low,none,synthetic
No complaints about the trainer.,neutral,instructor,low,none,synthetic
The venue had excellent security measures.,positive,venue,low,none,synthetic
Coffee machine is not working,negative,venue,high,contact venue,real
I already knew some of the information.,neutral,content,low,none,synthetic
Water bottles ran out quickly,negative,catering,medium,contact venue,real
It had enough seats.,neutral,venue,low,none,synthetic
"The lunch was gourmet quality, much appreciated.",positive,catering,low,none,synthetic
The trainer violated a basic rule of professional conduct. Get them out!,negative,instructor,high,escalate,synthetic
The catered food caused an allergic reaction for one delegate,negative,catering,high,contact venue,synthetic
Good,positive,overall,low,none,real
Instructor skipped some important topics,negative,instructor,high,inform coordinators,real
The presentation clicker worked.,neutral,equipment/setup,low,none,synthetic
The environment was neither inspiring nor dull.,neutral,venue,low,none,synthetic
The lunch was so cold and food is dry,negative,catering,high,contact venue,real
I didn't have a strong opinion on the food.,neutral,catering,low,none,synthetic
The coffee was strong and helped maintain energy levels.,positive,catering,low,none,synthetic
"Trainer made several inappropriate, offensive jokes.",negative,instructor,high,escalate,synthetic
The whiteboard was large and visible to everyone.,positive,equipment/setup,low,none,synthetic
The catering was delicious and had great variety.,positive,catering,low,none,synthetic
The computer mouse was designed for left-handed use only.,negative,equipment/setup,low,contact venue,synthetic
The lunch was unremarkable.,neutral,catering,low,none,synthetic
Worth every penny and minute spent.,positive,overall,low,none,synthetic
wifi was unstable throughout the day,negative,equipment/setup,medium,inform coordinators,real
The communal areas were spotlessly clean.,positive,venue,low,none,synthetic
The A/C unit kept the room at a perfect temperature.,positive,equipment/setup,low,none,synthetic
Very good and professional trainer. I enjoyed and found this 5-day course most helpful. Thank you.,positive,instructor,low,none,synthetic
Good session; no issues to report,positive,overall,low,none,real
The water cooler was warm and tasted like heck.,negative,venue,high,contact venue,synthetic
The course structure was logical and easy to follow.,positive,overall,low,none,synthetic
The power strip was old and sparking when plugged in.,negative,equipment/setup,high,escalate,synthetic
Thank you,positive,overall,low,none,real
The program was neither inspiring nor disappointing.,neutral,overall,low,none,synthetic
The general ambiance of the training room for the 10-day program was conducive to learning. Good temperature and lighting.,positive,venue,low,none,synthetic
Excellent teamwork by the organizing staff,positive,overall,low,none,real
Handouts were missing several pages,negative,material,medium,inform coordinators,synthetic
Instructor's pace was too fast for the 5 days.,negative,instructor,medium,inform instructor,synthetic
The mic worked when needed.,neutral,equipment/setup,low,none,synthetic
"Not a waste of time, but not amazing either.",neutral,overall,low,none,synthetic
The computers were protected by a firewall that blocked necessary ports.,negative,equipment/setup,high,contact venue,synthetic
The lighting was sufficient for reading.,neutral,equipment/setup,low,none,synthetic
You people clearly don't give a damn about quality control. Shame on you!,negative,overall,high,escalate,synthetic
The food made me feel unwell for the rest of the afternoon.,negative,catering,high,contact venue,real
The primary monitor kept turning off,negative,equipment/setup,high,contact venue,synthetic
I am disgusted by the poor organization and execution of this event.,negative,overall,high,escalate,synthetic
This company should be ashamed of the poor service provided here.,negative,overall,high,escalate,synthetic
The coffee machine was always stocked and working.,positive,catering,low,none,synthetic
I did not use the lab computers.,neutral,equipment/setup,low,none,synthetic
"The training VMs were running at a snail's damn pace, making all work impossible.",negative,equipment/setup,high,inform coordinators,synthetic
The equipment was standard.,neutral,equipment/setup,low,none,synthetic
I think Not worth the price paid,negative,overall,high,escalate,synthetic
All computers were configured exactly as needed for the lab.,positive,equipment/setup,low,none,synthetic
I think Examples were not relevant to our context,negative,content,medium,inform instructor,real
The course achieved a perfect balance of theory and practice.,positive,content,low,none,synthetic
A truly first-class experience overall.,positive,overall,low,none,synthetic
"There was a foul, disgusting stench coming from the air vents. I feel sick.",negative,venue,high,escalate,synthetic
Topics were interesting and engaging,positive,content,low,none,real
The course was extremely useful and well taught. It met all of my expectations for a 5-day intensive.,positive,overall,low,none,synthetic
Staff ensured the room was tidied quickly during breaks.,positive,venue,low,none,synthetic
Explanations were unclear in several parts,negative,instructor,high,inform coordinators,real
The computer screens had a terrible glare from the windows.,negative,equipment/setup,medium,contact venue,synthetic
The fire alarm went off for 10 minutes during a critical exercise.,negative,equipment/setup,high,escalate,synthetic
I think Tone came across as dismissive of questions,negative,instructor,high,escalate,real
HDMI cable was loose and caused screen flickers,negative,equipment/setup,medium,inform coordinators,real
"From my side, Too much hallway noise disrupted the session",negative,venue,high,contact venue,real
"The room was equipped with outdated, noisy servers that hummed loudly.",negative,equipment/setup,medium,contact venue,synthetic
The refill station was well stocked.,neutral,catering,low,none,synthetic
I regret spending my company's money on this,negative,overall,high,escalate,synthetic
The entire three days were an appalling disaster and an insult to the attendees.,negative,overall,high,escalate,synthetic
We were locked out of the room for 30 minutes. The venue staff clearly don't give a damn.,negative,venue,high,escalate,synthetic
The instructor is really professional,positive,instructor,low,none,real
The caterer was constantly slouching and checking their phone during service.,negative,catering,high,contact venue,synthetic
Lighting in the hall was poor and tiring on the eyes,negative,venue,high,contact venue,real
The provided extension cord had exposed wiring and was a shock hazard.,negative,equipment/setup,high,escalate,synthetic
Practical parts were excellent in the 5-day course.,positive,content,low,none,synthetic
The venue was not easily accessible for wheelchairs.,negative,venue,high,contact venue,synthetic
They were absolutely unprepared and just reading off the slides. A damn ripoff.,negative,instructor,high,inform coordinators,synthetic
It was enough food.,neutral,catering,low,none,synthetic
The instructor was very professional and approachable.,positive,instructor,low,none,synthetic
Seating was highly uncomfortable after the first day.,negative,venue,high,contact venue,synthetic
The optional exercises were very beneficial.,positive,content,low,none,synthetic
The laser pointer was not bright enough for the size of the room.,negative,equipment/setup,low,contact venue,synthetic
Needed to manage time better; skipped Q&A,negative,instructor,high,inform coordinators,real
I am in total disbelief at the low standard of the provided lunch.,negative,catering,high,contact venue,synthetic
Did not engage much with the audience.,neutral,instructor,low,none,synthetic
Instructor provided individualized attention when needed.,positive,instructor,low,none,synthetic
Lab computers were fast and had all the necessary software pre-installed.,positive,equipment/setup,low,none,synthetic
I think Catering was okay,neutral,catering,low,none,real
I think Laptop adapter was missing at the start,negative,equipment/setup,high,inform coordinators,real
The bread was stale and the soup was lukewarm. A damn awful meal.,negative,catering,high,contact venue,synthetic
